countries,HIV prevalence,Knowledge on HIV,,laws and policies,Curriculum,Curriculum use,Coverage of primary schools8,Coverage of secondary schools8,Teacher Training Policy/ Programme/ Curriculum,Monitoring and Evaluation,Resistence in society/CSE opposition1
Guinea,0.6 [0.3 - 0.8],"21,7",,PS,CB,…,...,51-75%,Yes,...,...
Guinea-Bissau,1.0 [0.5 - 1.5],"22,25",,PB,…,…,0-25%,0-25%,Yes,...,...
Guyana,0.3 [0.2 - 0.3],"48,6",,PB,CB,…,51-75%,51-75%,Yes,...,...
Haiti,0.7 [0.4 - 1.0],"37,3",,No,No,…,...,...,No,No,...
Honduras,<0.1 [<0.1 - <0.1],"33,44",,PB,…,…,0-25%,0-25%,Yes,...,...
"Hong Kong SAR, China",... [. ],…,,…,…,…,76-100%,76-100%,...,...,...
Iceland,... [. ],…,,PB,…,…,...,...,Yes,...,...
India,... [. ],"26,17",,PS,CS,OB,...,51-75%,Yes,EMIS tracks,No
Indonesia,... [. ],"11,37",,…,CS,MS,...,...,Yes,No,No
Iran (Islamic Republic of),<0.1 [<0.1 - <0.1],"18,27",,PS,No,…,...,...,Yes,No,...
Ireland,<0.1 [<0.1 - <0.1],…,,PB,CU,MU,...,...,Yes,M&E in place,Yes
Israel,... [. ],…,,No,…,…,...,...,...,...,...
Jamaica,0.3 [0.2 - 0.5],"39,04",,PB,CB,…,76-100%,76-100%,No,No,...
Kazakhstan,<0.1 [<0.1 - 0.1],…,,PS,CU,OU,...,76-100%,Yes,M&E in place (partially),Yes
Kenya,1.9 [1.3 - 2.5],"59,89",,PB,CB,MB,51-75%,51-75%,Yes,No,Yes
Kiribati,... [. ],…,,SL,CU,OB,76-100%,76-100%,No,...,...
Kuwait,... [. ],…,,No,…,…,...,...,No,...,...
Kyrgyzstan,<0.1 [<0.1 - <0.1],"23,4",,PS,CB,OU,...,76-100%,Yes,...,Yes
Lao People’s Democratic,0.1 [<0.1 - 0.1],"25,13",,PB,CB,MP,76-100%,0-25%,Yes,...,No
Republic,,,,,,,,,,,
Latvia,<0.1 [<0.1 - <0.1],…,,SL,CU,MU,...,...,...,M&E in place (partially),Yes
Lesotho,7.2 [4.2 - 10.1],"35,51",,PB,CB,MB,76-100%,76-100%,Yes,EMIS tracks,No
Liberia,0.8 [0.4 - 1.1],"33,55",,PB,No,…,76-100%,76-100%,Yes,...,...
Libya,<0.1 [<0.1 - <0.1],…,,No,…,…,...,...,No,...,...
Lithuania,<0.1 [<0.1 - <0.1],"70,7",,PB,…,…,...,...,Yes,...,...
Luxembourg,... [. ],…,,PS,…,…,...,...,Yes,...,...
"Macao SAR, China",... [. ],…,,…,…,…,76-100%,76-100%,...,...,...
Madagascar,<0.1 [<0.1 - <0.1],"24,1",,PB,CB,OB,51-75%,51-75%,Yes,...,No
Malawi,3.1 [2.0 - 4.3],"41,86",,PB,CB,MP,76-100%,76-100%,Yes,EMIS tracks,No
Malaysia,0.2 [0.1 - 0.2],"41,4",,PS,CU,MB,76-100%,76-100%,Yes,No,No
Maldives,... [. ],"35,49",,SL,CU,MB,76-100%,76-100%,...,EMIS tracks,No
Mali,0.6 [0.4 - 0.8],"15,8",,PB,CS,MS,...,...,Yes,EMIS tracks,...
Malta,... [. ],…,,PB,…,…,...,...,Yes,...,...
Marshall Islands,... [. ],…,,No,…,…,...,...,No,...,...
Mauritania,<0.1 [<0.1 - <0.1],"57,8",,PB,No,…,76-100%,0-25%,No,...,...
Mauritius,0.2 [0.2 - 0.3],"31,8",,PS,…,…,...,76-100%,Yes,...,...
Mexico,... [. ],…,,SL,CU,MB,76-100%,76-100%,Yes,No,Yes
Micronesia,... [. ],…,,No,…,…,...,...,No,...,...
Monaco,... [. ],…,,PS,…,…,76-100%,76-100%,No,...,...
Mongolia,<0.1 [<0.1 - <0.1],"22,12",,PB,CU,MB,76-100%,76-100%,Yes,...,No
Montenegro,... [. ],"43,83",,No,…,…,...,...,No,...,...
Morocco,<0.1 [<0.1 - <0.1],"22,22",,PB,CB,…,...,26-50%,Yes,...,...
Mozambique,5.0 [2.4 - 7.9],"30,55",,PB,CB,OB,76-100%,76-100%,Yes,No,No
Myanmar,0.3 [0.2 - 0.4],"16,65",,No,CB,MB,76-100%,76-100%,Yes,No,Yes
Namibia,3.8 [2.5 - 5.2],"58,25",,PB,CB,MB,51-75%,76-100%,Yes,EMIS tracks,Yes
Nauru,... [. ],…,,PB,…,…,...,...,No,...,...
Nepal,<0.1 [<0.1 - <0.1],"27,81",,PS,CS,MP,76-100%,0-25%,Yes,...,No
Netherlands,<0.1 [<0.1 - <0.1],…,,SL,CU,MU,...,...,...,M&E in place (partially),No
New Zealand,... [. ],…,,PB,…,…,26-50%,26-50%,No,...,...
Nicaragua,<0.1 [<0.1 - <0.1],"16,01",,PS,CB,…,...,76-100%,Yes,...,...
Niger,<0.1 [<0.1 - <0.1],"21,5",,PB,CB,…,76-100%,76-100%,Yes,...,...
Nigeria,0.5 [0.2 - 0.8],"40,8",,PB,CS,MP,...,...,Yes,Included in EMIS,Yes
Niue,... [. ],…,,No,…,…,...,...,No,...,...
North Macedonia,... [. ],…,,No,…,…,...,...,...,...,Yes
Oman,... [. ],…,,PS,…,…,...,51-75%,No,...,...
Pakistan,<0.1 [<0.1 - <0.1],"4,29",,SL,CU,MB,76-100%,76-100%,Yes,No,Yes
Palau,... [. ],…,,PB,…,…,...,...,Yes,...,...
Palestine,... [. ],…,,…,…,…,...,0-25%,...,...,...
Panama,... [. ],…,,No,No,…,...,...,Yes,...,...
Papua New Guinea,0.2 [0.1 - 0.4],25,,PB,CS,MS,76-100%,76-100%,Yes,...,No
Paraguay,... [. ],…,,No,No,…,...,...,No,...,...
Peru,<0.1 [<0.1 - <0.1],"75,3",,PB,CB,MB,76-100%,76-100%,Yes,No,Yes
Philippines,0.1 [<0.1 - 0.2],"15,05",,PB,CB,MB,76-100%,76-100%,Yes,No,No
Qatar,... [. ],"20,25",,…,…,…,76-100%,76-100%,...,...,...
Republic of Korea,... [. ],…,,No,…,…,...,...,Yes,...,...
Republic of Moldova,0.1 [0.1 - 0.2],"34,29",,PS,CS,…,76-100%,51-75%,Yes,...,...
Russian Federation,... [. ],…,,No,CU,MU,...,...,...,...,Yes
